index,name,summary,genre,subgenre,home,audio,title_and_location,date,event_time,venue
865,John The Martyr,"Born at the crossroads of good old-fashioned Harlem soul power and next generation New Orleans sounds, the story of John The Martyr starts on a New York City subway. This is where a 26-year-old NOLA native heard 70-year-old Harlem son, Bill Hudson, singing with the doo-wop outfit called Spank.
“They blew me away,” he recalls, “I grew up listening to artists like The Temptations, The Drifters, and James Brown, so it brought me back home.""
Kyle and bill bonded in the studio and continued to work together on creating some new tunes. “The first thing I said to him was, ‘I think you should find a younger guy, number one’,” laughs Bill. “I liked what Kyle was putting down though. It had a feeling. It wasn’t generic. There was no classifying it.”
“I just knew that the bond we had was special,” recalls Kyle. “I wanted to listen to his voice more and more. He’s a young guy at heart. There was a lot of patience from him, and his wisdom is so crucial to this band. We’re constantly learning from him.” 
Kyle shared a handful of demos with friend, Dustin DiSalvo, and after bringing together a collective of 11 musicians, John The Martyr was formed.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Blues,Funk,"New York, NY",http://audio.sxsw.com/2019/mp3_by_artist_id/a77233432f359529f7ee50fa2ef28aed45d5a2a883ee9e3fa4456c803542c0e6.mp3,John The Martyr at Friends,"Mar 13, 2019",10:00pm-10:40pm,Friends
866,John Vanderslice,"Over the course of his 30-year career as an influential songwriter, record producer, and studio owner, John Vanderslice has carved out a singular place for himself in the landscape of American indie rock. Between 2000 and 2014, JV released 10 records on Barsuk, Dead Oceans, and Secretly Canadian, and collaborated as a producer and musician on records by Spoon, the Mountain Goats, Okkervil River, Death Cab for Cutie and Tune-Yards. In April 2018, Vanderslice decided to leap back into his solo career with full force, hunkering down for over 50 days in his San Francisco studio Tiny Telephone in a process that yielded The Cedars—Vanderslice’s most ambitious record to date. The Cedars (Native Cat Recordings 2019) approaches the craft of songwriting from every direction but the front, in a non-linear process driven by drum machines, synthesizers, and an unpredictable palette of sonic textures. In an act of getting both figuratively and literally lost in the woods, Vanderslice finds himself favoring chaos and deconstruction over well-worn paths of familiar sounds and instrumentation.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Management, Brand Partnership, Gear Endorsement, Distribution - US, Distribution - UK/Europe, Distribution - Worldwide, Other Artists to Tour With, Publishing, Sync/Music Supervisors",Singer-Songwriter,Alternative,"San Francisco, CA",http://audio.sxsw.com/2019/mp3_by_artist_id/99e32b86a6a155e2db92be9be65a5098277d6d427e33ca2fa068163885f3c125.mp3,John Vanderslice at The Hideout,"Mar 14, 2019",1:00am-1:40am,The Hideout
867,John Vincent III,"Ohio-born singer and songwriter John Vincent III effortlessly blends folky, rhythmic guitar with soulful, vulnerable lyricism to create a perfect Americana-Pop blend. The multi-instrumentalist, who happened to stumble upon his love for songwriting in a high school jam-band, garners a lot of his musical inspiration from artists like Rob Grote from ""The Districts” and Justin Vernon. With the purchase of a guitar and baritone ukulele, Vincent taught himself to play as he was recording. He moved further along with this process, and suddenly, a project obtaining themes such as love and nature was produced to fruition. 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Booking Agent - Worldwide",Folk,Pop,"Houston, TX",http://audio.sxsw.com/2019/mp3_by_artist_id/a0f7fc2a79455213caa17e126e24b5291ab714b38cb36e85765aac26b638f9dd.mp3,John Vincent III at Stephen F's Bar,"Mar 16, 2019",9:00pm-9:40pm,Stephen F's Bar
868,JOJO ABOT,"JOJO ABOT is a Ghanaian artist expressing herself through music, film/photography, fashion, literature and performance art. FYFYA WOTO, meaning ""New Birth - New Discovery"" serves as the theme and title for her ongoing project exploring the SELF as a provocative tool in the discovery, exchange and evolution of the subject of IDENTITY. Through her work, JOJO Investigates new forms of spirituality and expression as part of a growing global conversation around shared space, identity and spirituality that exists beyond the conventional bias of color, race, class or sexual orientation.
Recently wrapping a year in NYC as a member of the New Museum's incubator program, NEW INC, JOJO also completed a residency at the acclaimed National Sawdust in NYC, and a week-long immersive residency via the Hult Center in Eugene, Oregon. JOJO has toured with Ms Lauryn Hill, and played shows at Radio City Music Hall, the Greek Theater and others along with Common, Seun Kuti and Stephen Marley. Having performed at iconic venues such as the Apollo Theater, Times Square on New Year’s eve, Museum of Modern Art, Kennedy Center and Kings Theater among others, Abot continues to take on a global audience.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Booking Agent - Worldwide, PR/Publicity Agency, Producer/Studio Engineer, Publishing, Sync/Music Supervisors",Avant / Experimental,Afro Punk,"Volta Region, GHANA",http://audio.sxsw.com/2019/mp3_by_artist_id/831910a03cafff6e518ffb245d7fe0a18db11308db0328c9336215bf23d2160f.mp3,JOJO ABOT at Flamingo Cantina,"Mar 14, 2019",11:00pm-11:40pm,Flamingo Cantina
869,Jonathan,"Jonathan is a band of five close friends from Rijeka, Croatia whose paths crossed in 2011. All of them came from other bands with many years of experience but none were prepared for the instant chemistry and ease of making a whole new sound together. The band's name reflects this idea of unity, Jonathan being a metaphorical single person with a blend of character traits and whimsies from each.
 
Five experienced musicians have ever since been on a mission to tear down geographic and linguistic borders. Jonathan officially appeared on Croatian scene in November 2013 with a single “Maggie” which was an instant hit. Accolades from music professionals and audience were only confirmed upon release of their debut album “Bliss” in May the following year. Jonathan became one of the bands emerging on the regional music scene, being high in quality and most noticeable.
Not keen to confine their music to a single genre, they are quick to point out their past in alternative and punk rock scene. Jonathan prefers to define themselves against other indie bands of today with a sound raw with primal energy and sarcastic lyrics delivered with genuine feeling. Their music is maybe best describe
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Management, Booking Agent - US",Rock,Indie Rock,"Rijeka, CROATIA",http://audio.sxsw.com/2019/mp3_by_artist_id/20f6a5efc053a2c53c7297597a326e9de343f3dd81bf3f5fddd2af49433765a6.mp3,Jonathan at Parish,"Mar 13, 2019",12:00am-12:40am,Parish
870,Jonathan Bree,"Jonathan Bree is a singer, composer, multi-instrumentalist and producer from New Zealand.
His recent music video for 'You're So Cool' has become a YouTube sensation, drawing viewers with his unique masked up mod band and it's eerie surreal production. Bree's live show is as equally captivating and otherworldly - both aurally and visually.
A self-confessed workaholic and social recluse, Jonathan spends his days (and nights) in a dingy home office attempting to run his record label Lil’ Chief Records whilst simultaneously producing for other artists, directing and starring in music videos for duets about Cigarette Smoking (yes THAT video) and then somehow finding time to record his own material when he should be sleeping.
Bree began writing and performing music as a child and by age 13 had released on New Zealand's Flying Nun Records.
At age 19 he formed the band The Brunettes, writing and producing 4 albums and 4 EPs for them. The Brunettes went on to sign with Sub Pop before eventually disbanding in 2010.
Bree then slipped into the shadows, resurfacing in 2014 as a solo artist with his masked baroque band, and has now released 3 solo albums.
Do not miss the master of misery
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Pop,Orchestral,"Auckland, NEW ZEALAND",http://audio.sxsw.com/2019/mp3_by_artist_id/692a8d37776e399998b1bef38a9052a6b7406c0d51d1edcc74f1308a73fe9868.mp3,Jonathan Bree at Hotel Vegas,"Mar 13, 2019",12:30am-1:00am,Hotel Vegas
871,Jon Dee Graham,"“Jon Dee Graham is a titan of American Songwriters.”
        -Jason Isbell
With 4+ decades in the trenches, over 100 album credits in All Music Guide, 10 solo albums to his name, averaging 175 shows a year, and as the only artist to be inducted to the Austin Music Hall of Fame 3 times, Jon Dee Graham has earned his place in American Music scene. Beginning as a member of The Skunks (one of Texas’ first punk rock bands) and moving on to play with seminal Americana pioneers True Believers with Alejandro Escovedo, followed by stints as guitarist for John Doe, Kelly Willis, and many more, it wasn’t until 1997’s “Escape From Monster Island” that Graham stepped into the light as a solo artist in his own right.
9 albums later he is recording a new record for 2019 and continues to surprise and deliver on a regular basis across America and beyond.
Do not miss him at this year’s SXSW.
 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Americana,Rock,"Austin, TX",,Jon Dee Graham at Continental Club,"Mar 16, 2019",9:00pm-9:40pm,Continental Club
872,Jon Keith,"Jon Kieth is a Hip-Hop and R&B artist originally from southeast San Diego, California. Jon was born to loving parents in a faith-based home and remembers having an affinity for country music. It wasn’t until hearing a San Diego rapper named Clister at the David’s Harp Foundation that Jon Kieth discovered his love for Hip-Hop. Soon, Jon began making his own music, eventually connecting with Kings Dream Entertainment after meeting Ruslan at local events.  

Jon’s first album, “Lost Boys,” proved to be a major success, receiving critical acclaim and garnering public praise from artists like Lecrae and Derek Minor. Because of the growing influence of Jon’s music, he’s been featured on Apple music’s front page and on YouTube channels with millions of views.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Hip-Hop / Rap,None,"San Diego, CA",,Jon Keith at The Belmont,"Mar 13, 2019",9:55pm-10:05pm,The Belmont
873,Jony Beltran,"Si tecleas Jony Beltran en un buscador de internet, lo primero que encontraras serán frases como: campeón de la competencia de rap improvisado mas importante del mundo en habla hispana, y es que no es para menos, si el oriundo de Acuña se ha alzado como campeón en la afamada Red Bull Batalla de los Gallos en repetidas ocasiones, así como Campeón del Clan Fest Internacional en Peru, y muchas otras competencias en paises como Chile y Argentina, donde ha demostrado el porque “Jony Beltran” se ha convertido en un nombre de peso dentro de el circuito de competencias de freestyle. 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Booking Agent - US",Hip-Hop / Rap,Hip-Hop,"Acuña, MEXICO",http://audio.sxsw.com/2019/mp3_by_artist_id/5ceeee9de850130c794cc552b8fd5bf080e8017d2c8cfb147f3aae87a227f1e3.mp3,Jony Beltran at Flatstock Stage Austin Convention Center,"Mar 16, 2019",3:30pm-3:45pm,Flatstock Stage Austin Convention Center
874,JonZ,"JonZ is an optimistic and intimate duo, created during the musical journey of Jenia Vasilenko and Yoav Or in an isolated house on the Zamarin mountainside.
Driven by the desire to integrate art, the passion to experience cultures and absorb different sounds, JonZ write powerful yet gentle folk songs, wrapped in a soft electronic blanket. This unique approach allows them to develop an eclectic language and to build their home wherever they are.
​After recording their first live E.P. in the Hills of Givat Ada, JonZ have performed in major festivals in Israel as well as in Europe (InDnegev, Yearot Menashe, Nataraj, Fusion, Colours of Ostrava, 3000grad, Greenland, Songbird fest).
​Recently, they have released their debut album 'Solid Wind'. Recorded in Tel-Aviv, produced by Ori Winokur, and crowd funded by Fans, the album is a communal collaboration of diverse musical talents from Israel.
​JonZ will be on several extended tours in Europe this upcoming summer (2018-2019), performing at festivals and venues in Germany, Italy, Lithuania, France, Poland, Denmark, Switzerland, The Netherlands and The Czech Republic.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Management, Brand Partnership, Gear Endorsement, Distribution - US, Distribution - UK/Europe, Distribution - Worldwide, Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide, PR/Publicity Agency, Producer/Studio Engineer, Publishing, Sync/Music Supervisors",Folk,Electronic,"Tel Aviv, ISRAEL",http://audio.sxsw.com/2019/mp3_by_artist_id/ed4c53d2e719618a889d83624b8575442de7806d2518171e737cf4df00b15094.mp3,JonZ at Parish,"Mar 12, 2019",10:40pm-11:00pm,Parish
875,Jordan Moser,"Jordan Moser is an artist in many mediums. He's been a ballet dancer professionally for the past 10 years with Ballet Austin, traveling as far as China to perform. He's also a prolific filmmaker, having crafted three music videos for local rising star Molly Burch, as well as choreographing and dancing in Adam Torres' breathtaking video for ""Juniper Arms"" in 2016. 
He's been recording and self-releasing his own music for over 10 years, but has his label debut coming in April 2019 via Keeled Scales. Jordan writes music that is quietly wise, with memorable melodies and gut-punch lyricism. 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Folk,Alt Country,"Austin, TX",http://audio.sxsw.com/2019/mp3_by_artist_id/b4c316a351f13e0f1203059079fc3961964634f18e91ee4f81dd05fcac1098ad.mp3,Jordan Moser at The Townsend,"Mar 15, 2019",8:00pm-8:40pm,The Townsend
876,Jo Schornikow,"Jo Schornikow is an Australian songwriter with a voice like water. Her debut album on Keeled Scales is called Secret Weapon. A secret weapon is a hidden source of strength; unpretentious good work, a reminder of what to aim for. Like Jo, it is a sideman; a friend, a mother. 
Secret Weapon is a record of time; of place; of circumstance. It was made in Jo’s hometown of Melbourne with VCA college buddy Shane Byron on a setup she affectionately refers to as “really dinky.” “The apartment smelled like mildewy laundry and Australian summertime in a way I love,” recalls Jo. “We cobbled together all the equipment we had and swore at it a lot.” 
Jo’s history is rich with unexpected circumstances. She began as a church organist and jazz pianist, which took her from Melbourne to New York City. She gigged around NYC with a smattering of colorful creatives. Amongst others, she worked as an accompanist of Hugh Jackman, Bobby Rydell and Lana Del Rey. She made an EP with King Creosote and contributed keys to works by The National, Kelli Scarr and Phosphorescent. Eventually, she settled into her steady role as touring member of Phosphorescent. 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Management, Brand Partnership, Gear Endorsement, Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, Publishing, Sync/Music Supervisors",Pop,Folk,"Melbourne, AUSTRALIA",http://audio.sxsw.com/2019/mp3_by_artist_id/264bc1c1451333dfe9527c3048d8d0b6c880d22da460d7c65f62c17e4066516e.mp3,Jo Schornikow at The Townsend,"Mar 15, 2019",10:00pm-10:40pm,The Townsend
877,Joshua Burnside,"Northern Irish experimental folk songwriter and producer Joshua Burnside is something of a regional anomaly. With a brooding, powerful sound echoing artists of places afar and time long gone, his enthralling craft defies local comparison in striving towards an aesthetic as much as visual as it is sonic. Balanced with a diverse palette of sounds, Burnside deftly blends alt-folk and elements of the Irish folk song tradition with South American rhythms and Eastern European influences, whilst introducing synthetic and found-sounds, synths loops and crunching beats to create a stormy world that shifts and swirls perspective like a lingering lucid dream. Live though the band aren't afraid to rock and have raised many a roof 
Joshua Debut album EPHRATA won the Northern Ireland Music Prize and racked up 8 million plays on Spotify and counting , he has written a follow up and is also releasing a live album to co-incide with his visit to SXSW 2019Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Brand Partnership, Gear Endorsement, Distribution - US, Booking Agent - US, PR/Publicity Agency",Alt Country,Electronic,"Belfast, UK-N. IRELAND",http://audio.sxsw.com/2019/mp3_by_artist_id/765b229a125f45c5a0defbc07a8f3c7aa9c648a0f71eec25adf7aef8012d7ed0.mp3,Joshua Burnside at British Music Embassy @ Latitude 30,"Mar 14, 2019",3:00pm-3:40pm,British Music Embassy @ Latitude 30
878,Josin,"There’s a naivety to Josin’s productions that defies description. 2017 EP ‘Epilogue’ was a soaring, moving introduction, a strikingly original fusion of neo-classical textures and inquisitive electronics. Incoming full length ‘In The Blank Space’ takes this conversation further, a broad but stunningly concise exposition of supple strings, textured vocals, and digital excursions. One thread that consistently moved through her work are those gorgeous classical elements; whether that’s her treatment of melody on the supple, piano-driven ‘Once Apart’, her exploration of tone on ‘Feral Thing’, or simply incorporating a string quartet on the title track, ‘In The Blank Space’ points to the future while looking back to her past. “I think that’s maybe why I’m not only an electronic artist, but I’m also not just a singer-songwriter,” she insists. “I do both. I produce and I write songs."" Her technical autodidacticism is allied to a searing ambition, an unrelenting creativity. It’s the sound of someone who utterly loves music bringing this creativity into resolute focus, a conversation between the organic and the digital, between her inner world and that urge towards communication.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Brand Partnership, Gear Endorsement, Distribution - US, Other Artists to Tour With, Booking Agent - US, Publishing",Singer-Songwriter,Alternative,"Freiburg, GERMANY",http://audio.sxsw.com/2019/mp3_by_artist_id/7e32f708e08663963aef9470adb582921db298a673b29813f8ae9789a7aa2ee1.mp3,Josin at Las Perlas,"Mar 13, 2019",8:30pm-9:10pm,Las Perlas
879,The Joy Formidable,"THE JOY FORMIDABLEAAARTH makes a statement unlike its predecessors and has always refused to be fenced in or fit in. This critically adored trio is comprised of Ritzy Bryan (guitars), Rhydian Dafydd (bass) and Matt Thomas (drums). Formed in North Wales 10 years ago, each album they've released has been a joyful adventure and reflection of their fearless creative discovery and self evolution. 
Certainly, the road to AAARTH hasn’t always been easy. Staying together as a band for 10 years requires immense tenacity and passion, both of which The Joy Formidable have never lost. The songs, melodies, and arrangements on AAARTH soar seamlessly from the personal to the epic sometimes in loneliness, vulnerability, disillusionment, joy and redemption, but all the while refusing to deny the persistence of our own and other's imperfectly beautiful humanity.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Rock,None,"Yr Wyddgrug, UK-WALES",,The Joy Formidable at British Music Embassy @ Latitude 30,"Mar 13, 2019",5:30pm-6:00pm,British Music Embassy @ Latitude 30
880,J.Patron,"JPatron is a Colombian born artist currently residing in Coachella Valley, California. Broadcasting a hard-hitting mix of Latin trap, reggaetón, hip-hop, and cumbia, JPatron is the most recent signing to Latin Grammy nominee El Dusty’s Americano Label. His forthcoming first release with the imprint, My American Dream & Colombian Fantasy, arrives in March 2019, showcasing a 5-track EP with production duties handled by perreo underground rising producer Deltatron. 
My American Dream & Colombian Fantasy hones in on a sinister, dripping perreo take on dembow, marking a departure from JPatron’s past focus on the on hip-hop and cumbia that defined his full length album debut  Ilegales en Ferraris (2017). His forthcoming release translates the relentless, positive hip-hop bravado that JPatron brings to the genre, with narratives highlighting the unstoppable surge of Latinx artists into the mainstream. The album definitively stakes out JPatron’s place as being a part of the movement since the beginning, and that he’s here to stay.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Brand Partnership, Gear Endorsement, Distribution - Worldwide, Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide",Latin Urban,Hip-Hop / Rap,"Bogotá, COLOMBIA",http://audio.sxsw.com/2019/mp3_by_artist_id/9de7df5dfc729259aaee5b43822801aba9b7f89ad4b48a1382d2f45ad1006c32.mp3,J.Patron at Speakeasy Kabaret,"Mar 14, 2019",11:30pm-12:10am,Speakeasy Kabaret
881,JP Saxe,"JP Saxe is an R&B leaning, lyric obsessed singer/songwriter from Toronto. Subtle yet deliberate, Saxe’s music is all about detailed moments that bring you intimately close to his emotional perspective. His grandfather, Janos Starker, often regarded as the greatest cellist of the 20th century, pushed him to explore creating beauty through his own expressions: lyricism and songwriting.
The latest release “Both Can Be True: Part 1” - a pair of new songs “25 in Barcelona” &“Blurry” - explore both sides of a feeling. JP explains, “One from a moment we were together... lost in you and completely disconnected from everything else. The other from a moment after we were together, on opposite sides of the world... lost in you and completely disconnected from everything else.""
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Producer/Studio Engineer",Pop,R & B,"Toronto, ON, CANADA",,JP Saxe at Stephen F's Bar,"Mar 16, 2019",1:00am-1:50am,Stephen F's Bar
882,JP THE WAVY,"JP THE WAVY, a rapper, is notably considered now as Japan's hottest breakout star and most wanted in the rap game. His hit track ""Cho Wavy De Gomenne” (*Sorry I’m super wavy) became the buzz of the street. The elements of his Music video is mixture of fresh dance moves and current musicality that reaches out to a large audience. He started listening to all genres of music especially Hip Hop, played drums during his elementary school days, and later started street dancing. However his passion and focus has always been on the wide range of music and sound, and started rapping when he was 18.
Being surrounded by music with his great taste caught ears of many artists. A Japanese well-known rapper, ""Salu”, offered to remix his track and it blew up garnering almost 10 million views on YouTube.  His EP ""Wavy Tape"" (including “Cho Wavy De Gomenne) ranked #1 on iTunes Hip Hop chart.
At the end of 2018, he released his new single “Neo Gal Wop”. Followed by a new song “Just A Lil Bit”  featuring Korean singer/rapper “Sik-K” in January 2019.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Brand Partnership, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide, PR/Publicity Agency, Producer/Studio Engineer, Publishing, Sync/Music Supervisors",Hip-Hop / Rap,Hip-Hop,"Shonan, JAPAN",http://audio.sxsw.com/2019/mp3_by_artist_id/8e7c5c528c6fdb88b2cb650abc7d4bc5fbde86dcc9d73a6024927ca8e3c5a08e.mp3,JP THE WAVY at Cheer Up Charlie's,"Mar 15, 2019",8:00pm-8:40pm,Cheer Up Charlie's
883,J.S. Ondara,"J.S. Ondara offers a unique take on the American dream on Tales of America, his debut album, out February 15th on Verve Forecast. Ondara grew up in Nairobi, Kenya, listening to American alt-rock and making up his own songs for as long as he can remember. After discovering the music of Bob Dylan, he moved to Minneapolis in 2013 to pursue a career in music. There he began making his way in the local music scene, continually writing songs about what he saw, felt and experienced in a place far different from home.
From a stockpile he says is hundreds of songs deep, Ondara chose 11 for Tales of America. They’re captivating tunes built around acoustic guitars and adorned with subtle full-band accompaniment for an openhearted folk-rock feel.  
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Gear Endorsement",Folk,Acoustic,"Nairobi, KENYA",,J.S. Ondara at Elysium,"Mar 12, 2019",10:00pm-10:40pm,Elysium
884,J Soulja,"J Soulja is making heads turn with his raw lyrical talent & diverse business endeavors in the hiphop community. 
With doing shows from Wale to TDE as well as other big name artist, J Soulja is quickly becoming a local as well as a statewide favorite.
In 2018, JSoulja was selected by international cigar company ""Swisher Sweets"" to become an implement to their elite class of HipHop artist/endorsers. J Soulja is working close knit with the company to help brand himself as well as the company by performing at their exclusive concerts titled ""Swisher Pack Night"" along side with artist such as Gucci Mane, Fetty Wap, & Machine Gun Kelly.
J Soulja’s knack for lyricism, charisma, as well as his devotion to use his platform to uplift his peers is what has him standing out from the rest in his hometown. J Soulja has made it clear that he is one of the premiere artists not only in Austin, but across the U.S.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Management, Brand Partnership, Gear Endorsement, Distribution - UK/Europe, Other Artists to Tour With, Booking Agent - UK/Europe, PR/Publicity Agency, Publishing, Sync/Music Supervisors",Hip-Hop / Rap,Southern Hip-Hop,"Austin, TX",http://audio.sxsw.com/2019/mp3_by_artist_id/0f4bb362cd9cf3e2d95caec81b112d61cf810d41c971f43f5cb7d81f869325d0.mp3,J Soulja at Barracuda,"Mar 16, 2019",12:10am-12:25am,Barracuda
885,Judah & the Lion,"For Judah & the Lion, the last two years should've been the best of their lives as the Nashville band toured behind a powerful single and a genre-upending album, sharing stages with heroes and playing to oceans of fans. But as everything was coming together for them, singer-guitarist Judah Akers' family was falling apart in a hail of alcoholism and affairs, death and divorce. From that tension comes Pep Talks, the trio's third LP and a hard left turn into deeply personal terrain. Knowing they had something new on their hands, Judah, Brian Macdonald (mandolin), and Nate Zuercher (banjo) took their time crafting a set of songs that not only shores up their one-of-a-kind sound—a heart-pounding whirl of folk, bluegrass, rock, hip-hop and electronic production—but takes the listener on a bracingly candid, surprisingly anthemic journey from the kind of pain that tears your whole world apart to the sort of hard-won hope that can bridge the deepest of rifts. 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Rock,Alternative,"Nashville, TN",,Judah & the Lion at Banger's,"Mar 14, 2019",11:00pm-11:40pm,Banger's
886,Judy Blank,"When you hear a Judy Blank song, you hear a worldly wisdom far beyond her 23 years. You hear a voice that sounds like how smokey Tennessee mountains look; the peaks are crisp, light, majestic and untamed in scope, while the valleys are deep, rich, and elegiac. 
She makes 70’s inspired Americana music for an international audience, not by mimicking her favorites from afar, but by making pilgrimages across the southern US to find the right connections, tone and feeling. Over the years, Judy has performed with artists such as The Wood Brothers, Seasick Steve and Macy Gray. She's one of a handful of artists to wow audiences as intimate as Nashville's famed Bluebird Cafe and as grand as Amsterdam's 18.000 seat Ziggo Dome. She keeps it real and humble, focused on making her music as authentic as she is. 
Her second album, ""Morning Sun"", was recorded by Chris Taylor (Elle King, The Wood Brothers) at Southern Ground Studios (Emmylou Harris, Kris Kristofferson, Willie Nelson), and appeared in Sep 2018 via V2/Munich Records. Within a month it reached a million streams on Spotify. ""1995"", her latest single, was added to the favorites playlist of none other than living legend Elton John.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Management, Booking Agent - Worldwide, Sync/Music Supervisors",Folk,Americana,"Utrecht, NETHERLANDS",http://audio.sxsw.com/2019/mp3_by_artist_id/26e1728181021a9065bb947875ea1b059443614b34ecb1ab2541a3d97f54838c.mp3,Judy Blank at Edwin's,"Mar 12, 2019",10:00pm-10:40pm,Edwin's
887,Juiceboxxx,"Juiceboxxx is the Milwaukee-bred AMERICAN MUSIC artist who is quite simply the first and last of his kind all at once.
Juiceboxxx grew up in the ‘2000s within the noise, punk rock, and underground rap communities of Wisconsin, and while those banners still fly high independently today, there are very few other artists who not only understand that venn diagram but who are also actively attempting to merge those sounds cohesively.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Punk,Alternative,"Milwaukee, WI",,Juiceboxxx at Barracuda Backyard,"Mar 15, 2019",8:45pm-9:25pm,Barracuda Backyard
888,Julia Lucille,"Combining ethereal dream pop elements and austere folk influences, Illinois-born singer/songwriter Julia Lucille began her career in Portland, Oregon, where she studied ethnomusicology at Lewis & Clark College. Her dark-hued sound recalls some of the winsome loneliness of German folkstress Sibylle Baier, a noted influence, while taking on some experimental indie undertones. Returning home to California, Lucille spent a year honing new material, some of which appeared on a 2012 solo effort titled Homing. A move to Texas yielded a 2016 collection of lo-fi demos called Bedroom Tapes, Vol. 1, followed by a proper follow-up album in the panoramic and more fully formed Chthonic, which she recorded in Dripping Springs with Cross Record members Emily Cross and Dan Duszynski. The album was released in 2017 by Austin indie Keeled Scales. Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Management",Folk,Alternative,"Austin, TX",http://audio.sxsw.com/2019/mp3_by_artist_id/c82d7fb364cd920ec4908dab11494ee79e8181c598962fe67c717503291205f0.mp3,Julia Lucille at Central Presbyterian Church,"Mar 16, 2019",9:00pm-9:40pm,Central Presbyterian Church
889,Juliana Hale,"
Juliana Hale was created to be on stage and in the studio sharing her voice and heart with the world. From the moment she starts to sing, something magical ignites in a room. With a rich alto voice and unique style Juliana immediately captivates anyone who hears it. Whether on stage with her world-class band, sitting at home on her piano or writing a song on the bus with her guitar, Juliana’s heart beats to music.
In the second quarter of 2018 Juliana released her 4 song EP “Small Talk”, produced by Grammy Award-winner Skidd Mills. Small Talk was based upon the petite singer’s own heartbreaking personal experience, showing her penchant for poignant lyricism and upbeat musicality.
Juliana’s latest single “Cupid” is the first new original track since the summer ’18 release of Small Talk.  Stripping away the synthesizers and drum machines, “Cupid” presents Juliana Hale’s music in its rawest and most naked form: just piano, cello, and vocals. 
Having made the difficult choice to walk away from over $600,000 in scholarships to prestigious, private universities last year, there is no question that Juliana is giving 100% to make her dreams a reality.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Brand Partnership, Gear Endorsement, Distribution - Worldwide, Other Artists to Tour With, PR/Publicity Agency, Publishing, Sync/Music Supervisors",Pop,None,"Nashville, TN",http://audio.sxsw.com/2019/mp3_by_artist_id/51b49f6a1a896595542b904ab2f128478bce44d632494981431cae3efd57cb64.mp3,Juliana Hale at Dirty Dog Bar,"Mar 15, 2019",10:35pm-10:55pm,Dirty Dog Bar
